CodigoFabricante;Nome;Descricao;Categoria;Subcategoria;Marca;Voltagem;Amperagem;Aplicacao;ImagemLocal;Segmento
FAR-DNI-LED-H4-LE-0215;Farol LED-H4 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;DNI;12V;;Repos LED-H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-H4-LE-0215.png;Leve
FAR-DNI-LED-H4-PAR-0216;Farol LED-H4 par;Conjunto farol LED 12V lado par;Farois;LED;DNI;12V;;Repos LED-H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-H4-PAR-0216.png;Leve
FAR-DNI-LED-H7-LD-0217;Farol LED-H7 direito;Conjunto farol LED 12V lado direito;Farois;LED;DNI;12V;;Repos LED-H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-H7-LD-0217.png;Leve
FAR-DNI-LED-H7-LE-0218;Farol LED-H7 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;DNI;12V;;Repos LED-H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-H7-LE-0218.png;Leve
FAR-DNI-LED-H7-PAR-0219;Farol LED-H7 par;Conjunto farol LED 12V lado par;Farois;LED;DNI;12V;;Repos LED-H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-H7-PAR-0219.png;Leve
FAR-DNI-LED-H11-LD-0220;Farol LED-H11 direito;Conjunto farol LED 12V lado direito;Farois;LED;DNI;12V;;Repos LED-H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-H11-LD-0220.png;Leve
FAR-DNI-LED-H11-LE-0221;Farol LED-H11 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;DNI;12V;;Repos LED-H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-H11-LE-0221.png;Leve
FAR-DNI-LED-H11-PAR-0222;Farol LED-H11 par;Conjunto farol LED 12V lado par;Farois;LED;DNI;12V;;Repos LED-H11 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-H11-PAR-0222.png;Leve
FAR-DNI-LED-HB3-LD-0223;Farol LED-HB3 direito;Conjunto farol LED 12V lado direito;Farois;LED;DNI;12V;;Repos LED-HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-HB3-LD-0223.png;Leve
FAR-DNI-LED-HB3-LE-0224;Farol LED-HB3 esquerdo;Conjunto farol LED 12V lado esquerdo;Farois;LED;DNI;12V;;Repos LED-HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-HB3-LE-0224.png;Leve
FAR-DNI-LED-HB3-PAR-0225;Farol LED-HB3 par;Conjunto farol LED 12V lado par;Farois;LED;DNI;12V;;Repos LED-HB3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-HB3-PAR-0225.png;Leve
FAR-DNI-XENON-D2S-LD-0226;Farol XENON-D2S direito;Conjunto farol xenon 12V lado direito;Farois;xenon;DNI;12V;;Repos XENON-D2S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-XENON-D2S-LD-0226.png;Leve
FAR-DNI-XENON-D2S-LE-0227;Farol XENON-D2S esquerdo;Conjunto farol xenon 12V lado esquerdo;Farois;xenon;DNI;12V;;Repos XENON-D2S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-XENON-D2S-LE-0227.png;Leve
FAR-DNI-XENON-D2S-PAR-0228;Farol XENON-D2S par;Conjunto farol xenon 12V lado par;Farois;xenon;DNI;12V;;Repos XENON-D2S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-XENON-D2S-PAR-0228.png;Leve
FAR-DNI-XENON-D3S-LD-0229;Farol XENON-D3S direito;Conjunto farol xenon 12V lado direito;Farois;xenon;DNI;12V;;Repos XENON-D3S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-XENON-D3S-LD-0229.png;Leve
FAR-DNI-XENON-D3S-LE-0230;Farol XENON-D3S esquerdo;Conjunto farol xenon 12V lado esquerdo;Farois;xenon;DNI;12V;;Repos XENON-D3S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-XENON-D3S-LE-0230.png;Leve
FAR-DNI-XENON-D3S-PAR-0231;Farol XENON-D3S par;Conjunto farol xenon 12V lado par;Farois;xenon;DNI;12V;;Repos XENON-D3S 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-XENON-D3S-PAR-0231.png;Leve
FAR-DNI-H4-24V-LD-0232;Farol H4-24V direito;Conjunto farol halogena 24V lado direito;Farois;halogena;DNI;24V;;Repos H4-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-H4-24V-LD-0232.png;Pesado
FAR-DNI-H4-24V-LE-0233;Farol H4-24V esquerdo;Conjunto farol halogena 24V lado esquerdo;Farois;halogena;DNI;24V;;Repos H4-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-H4-24V-LE-0233.png;Pesado
FAR-DNI-H4-24V-PAR-0234;Farol H4-24V par;Conjunto farol halogena 24V lado par;Farois;halogena;DNI;24V;;Repos H4-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-H4-24V-PAR-0234.png;Pesado
FAR-DNI-H7-24V-LD-0235;Farol H7-24V direito;Conjunto farol halogena 24V lado direito;Farois;halogena;DNI;24V;;Repos H7-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-H7-24V-LD-0235.png;Pesado
FAR-DNI-H7-24V-LE-0236;Farol H7-24V esquerdo;Conjunto farol halogena 24V lado esquerdo;Farois;halogena;DNI;24V;;Repos H7-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-H7-24V-LE-0236.png;Pesado
FAR-DNI-H7-24V-PAR-0237;Farol H7-24V par;Conjunto farol halogena 24V lado par;Farois;halogena;DNI;24V;;Repos H7-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-H7-24V-PAR-0237.png;Pesado
FAR-DNI-LED-24V-LD-0238;Farol LED-24V direito;Conjunto farol LED 24V lado direito;Farois;LED;DNI;24V;;Repos LED-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-24V-LD-0238.png;Pesado
FAR-DNI-LED-24V-LE-0239;Farol LED-24V esquerdo;Conjunto farol LED 24V lado esquerdo;Farois;LED;DNI;24V;;Repos LED-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-24V-LE-0239.png;Pesado
FAR-DNI-LED-24V-PAR-0240;Farol LED-24V par;Conjunto farol LED 24V lado par;Farois;LED;DNI;24V;;Repos LED-24V 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAR-DNI-LED-24V-PAR-0240.png;Pesado
FAUX-PRI-01-12V;Farol milha LED redondo;Farol milha LED redondo 12V;Farois;Auxiliar;PRIMOX;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\PRIMOX_FAUX-PRI-01-12V.png;Leve
FAUX-PRI-02-12V;Farol milha LED quadrado;Farol milha LED quadrado 12V;Farois;Auxiliar;PRIMOX;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\PRIMOX_FAUX-PRI-02-12V.png;Leve
FAUX-PRI-03-12V;Farol auxiliar neblina;Farol auxiliar neblina 12V;Farois;Auxiliar;PRIMOX;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\PRIMOX_FAUX-PRI-03-12V.png;Leve
FAUX-PRI-04-12V;Farol trabalho LED 18W;Farol trabalho LED 18W 12V;Farois;Auxiliar;PRIMOX;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\PRIMOX_FAUX-PRI-04-12V.png;Ambos
FAUX-PRI-05-12-24V;Farol trabalho LED 27W;Farol trabalho LED 27W 12/24V;Farois;Auxiliar;PRIMOX;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\PRIMOX_FAUX-PRI-05-12-24V.png;Ambos
FAUX-PRI-06-24V;Farol trabalho LED 48W;Farol trabalho LED 48W 24V;Farois;Auxiliar;PRIMOX;24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\PRIMOX_FAUX-PRI-06-24V.png;Pesado
FAUX-PRI-07-12-24V;Barra LED 22 pol;Barra LED 22 pol 12/24V;Farois;Auxiliar;PRIMOX;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\PRIMOX_FAUX-PRI-07-12-24V.png;Ambos
FAUX-PRI-08-12-24V;Barra LED 32 pol;Barra LED 32 pol 12/24V;Farois;Auxiliar;PRIMOX;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\PRIMOX_FAUX-PRI-08-12-24V.png;Ambos
FAUX-PRI-09-12-24V;Farol busca magnetico;Farol busca magnetico 12/24V;Farois;Auxiliar;PRIMOX;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\PRIMOX_FAUX-PRI-09-12-24V.png;Ambos
FAUX-PRI-10-24V;Farol teto cabine;Farol teto cabine 24V;Farois;Auxiliar;PRIMOX;24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\PRIMOX_FAUX-PRI-10-24V.png;Pesado
FAUX-DNI-01-12V;Farol milha LED redondo;Farol milha LED redondo 12V;Farois;Auxiliar;DNI;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAUX-DNI-01-12V.png;Leve
FAUX-DNI-02-12V;Farol milha LED quadrado;Farol milha LED quadrado 12V;Farois;Auxiliar;DNI;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAUX-DNI-02-12V.png;Leve
FAUX-DNI-03-12V;Farol auxiliar neblina;Farol auxiliar neblina 12V;Farois;Auxiliar;DNI;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAUX-DNI-03-12V.png;Leve
FAUX-DNI-04-12V;Farol trabalho LED 18W;Farol trabalho LED 18W 12V;Farois;Auxiliar;DNI;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAUX-DNI-04-12V.png;Ambos
FAUX-DNI-05-12-24V;Farol trabalho LED 27W;Farol trabalho LED 27W 12/24V;Farois;Auxiliar;DNI;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAUX-DNI-05-12-24V.png;Ambos
FAUX-DNI-06-24V;Farol trabalho LED 48W;Farol trabalho LED 48W 24V;Farois;Auxiliar;DNI;24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAUX-DNI-06-24V.png;Pesado
FAUX-DNI-07-12-24V;Barra LED 22 pol;Barra LED 22 pol 12/24V;Farois;Auxiliar;DNI;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAUX-DNI-07-12-24V.png;Ambos
FAUX-DNI-08-12-24V;Barra LED 32 pol;Barra LED 32 pol 12/24V;Farois;Auxiliar;DNI;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAUX-DNI-08-12-24V.png;Ambos
FAUX-DNI-09-12-24V;Farol busca magnetico;Farol busca magnetico 12/24V;Farois;Auxiliar;DNI;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAUX-DNI-09-12-24V.png;Ambos
FAUX-DNI-10-24V;Farol teto cabine;Farol teto cabine 24V;Farois;Auxiliar;DNI;24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\DNI_FAUX-DNI-10-24V.png;Pesado
FAUX-HEL-01-12V;Farol milha LED redondo;Farol milha LED redondo 12V;Farois;Auxiliar;HELLA;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAUX-HEL-01-12V.png;Leve
FAUX-HEL-02-12V;Farol milha LED quadrado;Farol milha LED quadrado 12V;Farois;Auxiliar;HELLA;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAUX-HEL-02-12V.png;Leve
FAUX-HEL-03-12V;Farol auxiliar neblina;Farol auxiliar neblina 12V;Farois;Auxiliar;HELLA;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAUX-HEL-03-12V.png;Leve
FAUX-HEL-04-12V;Farol trabalho LED 18W;Farol trabalho LED 18W 12V;Farois;Auxiliar;HELLA;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAUX-HEL-04-12V.png;Ambos
FAUX-HEL-05-12-24V;Farol trabalho LED 27W;Farol trabalho LED 27W 12/24V;Farois;Auxiliar;HELLA;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAUX-HEL-05-12-24V.png;Ambos
FAUX-HEL-06-24V;Farol trabalho LED 48W;Farol trabalho LED 48W 24V;Farois;Auxiliar;HELLA;24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAUX-HEL-06-24V.png;Pesado
FAUX-HEL-07-12-24V;Barra LED 22 pol;Barra LED 22 pol 12/24V;Farois;Auxiliar;HELLA;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAUX-HEL-07-12-24V.png;Ambos
FAUX-HEL-08-12-24V;Barra LED 32 pol;Barra LED 32 pol 12/24V;Farois;Auxiliar;HELLA;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAUX-HEL-08-12-24V.png;Ambos
FAUX-HEL-09-12-24V;Farol busca magnetico;Farol busca magnetico 12/24V;Farois;Auxiliar;HELLA;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAUX-HEL-09-12-24V.png;Ambos
FAUX-HEL-10-24V;Farol teto cabine;Farol teto cabine 24V;Farois;Auxiliar;HELLA;24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAUX-HEL-10-24V.png;Pesado
FAUX-OSR-01-12V;Farol milha LED redondo;Farol milha LED redondo 12V;Farois;Auxiliar;OSRAM;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\OSRAM_FAUX-OSR-01-12V.png;Leve
FAUX-OSR-02-12V;Farol milha LED quadrado;Farol milha LED quadrado 12V;Farois;Auxiliar;OSRAM;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\OSRAM_FAUX-OSR-02-12V.png;Leve
FAUX-OSR-03-12V;Farol auxiliar neblina;Farol auxiliar neblina 12V;Farois;Auxiliar;OSRAM;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\OSRAM_FAUX-OSR-03-12V.png;Leve
FAUX-OSR-04-12V;Farol trabalho LED 18W;Farol trabalho LED 18W 12V;Farois;Auxiliar;OSRAM;12V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\OSRAM_FAUX-OSR-04-12V.png;Ambos
FAUX-OSR-05-12-24V;Farol trabalho LED 27W;Farol trabalho LED 27W 12/24V;Farois;Auxiliar;OSRAM;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\OSRAM_FAUX-OSR-05-12-24V.png;Ambos
FAUX-OSR-06-24V;Farol trabalho LED 48W;Farol trabalho LED 48W 24V;Farois;Auxiliar;OSRAM;24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\OSRAM_FAUX-OSR-06-24V.png;Pesado
FAUX-OSR-07-12-24V;Barra LED 22 pol;Barra LED 22 pol 12/24V;Farois;Auxiliar;OSRAM;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\OSRAM_FAUX-OSR-07-12-24V.png;Ambos
FAUX-OSR-08-12-24V;Barra LED 32 pol;Barra LED 32 pol 12/24V;Farois;Auxiliar;OSRAM;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\OSRAM_FAUX-OSR-08-12-24V.png;Ambos
FAUX-OSR-09-12-24V;Farol busca magnetico;Farol busca magnetico 12/24V;Farois;Auxiliar;OSRAM;12/24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\OSRAM_FAUX-OSR-09-12-24V.png;Ambos
FAUX-OSR-10-24V;Farol teto cabine;Farol teto cabine 24V;Farois;Auxiliar;OSRAM;24V;;Utilitario / oficina;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\OSRAM_FAUX-OSR-10-24V.png;Pesado
LAN-HEL-01-LD-12V;Lanterna traseira direita;Lanterna traseira 12V direita;Lanternas;completa;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-01-LD-12V.png;Leve
LAN-HEL-01-LD-24V;Lanterna traseira direita;Lanterna traseira 24V direita;Lanternas;completa;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-01-LD-24V.png;Pesado
LAN-HEL-01-LE-12V;Lanterna traseira esquerda;Lanterna traseira 12V esquerda;Lanternas;completa;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-01-LE-12V.png;Leve
LAN-HEL-01-LE-24V;Lanterna traseira esquerda;Lanterna traseira 24V esquerda;Lanternas;completa;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-01-LE-24V.png;Pesado
LAN-HEL-01-UNI-12V;Lanterna traseira universal;Lanterna traseira 12V universal;Lanternas;completa;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-01-UNI-12V.png;Leve
LAN-HEL-01-UNI-24V;Lanterna traseira universal;Lanterna traseira 24V universal;Lanternas;completa;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-01-UNI-24V.png;Pesado
LAN-HEL-02-LD-12V;Lanterna traseira LED direita;Lanterna traseira LED 12V direita;Lanternas;LED;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-02-LD-12V.png;Leve
LAN-HEL-02-LD-24V;Lanterna traseira LED direita;Lanterna traseira LED 24V direita;Lanternas;LED;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-02-LD-24V.png;Pesado
LAN-HEL-02-LE-12V;Lanterna traseira LED esquerda;Lanterna traseira LED 12V esquerda;Lanternas;LED;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-02-LE-12V.png;Leve
LAN-HEL-02-LE-24V;Lanterna traseira LED esquerda;Lanterna traseira LED 24V esquerda;Lanternas;LED;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-02-LE-24V.png;Pesado
LAN-HEL-02-UNI-12V;Lanterna traseira LED universal;Lanterna traseira LED 12V universal;Lanternas;LED;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-02-UNI-12V.png;Leve
LAN-HEL-02-UNI-24V;Lanterna traseira LED universal;Lanterna traseira LED 24V universal;Lanternas;LED;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-02-UNI-24V.png;Pesado
LAN-HEL-03-LD-12V;Lanterna pisca dianteiro direita;Lanterna pisca dianteiro 12V direita;Lanternas;pisca;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-03-LD-12V.png;Leve
LAN-HEL-03-LD-24V;Lanterna pisca dianteiro direita;Lanterna pisca dianteiro 24V direita;Lanternas;pisca;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-03-LD-24V.png;Pesado
LAN-HEL-03-LE-12V;Lanterna pisca dianteiro esquerda;Lanterna pisca dianteiro 12V esquerda;Lanternas;pisca;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-03-LE-12V.png;Leve
LAN-HEL-03-LE-24V;Lanterna pisca dianteiro esquerda;Lanterna pisca dianteiro 24V esquerda;Lanternas;pisca;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-03-LE-24V.png;Pesado
LAN-HEL-03-UNI-12V;Lanterna pisca dianteiro universal;Lanterna pisca dianteiro 12V universal;Lanternas;pisca;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-03-UNI-12V.png;Leve
LAN-HEL-03-UNI-24V;Lanterna pisca dianteiro universal;Lanterna pisca dianteiro 24V universal;Lanternas;pisca;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-03-UNI-24V.png;Pesado
LAN-HEL-04-LD-12V;Lanterna pisca lateral direita;Lanterna pisca lateral 12V direita;Lanternas;pisca;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-04-LD-12V.png;Leve
LAN-HEL-04-LD-24V;Lanterna pisca lateral direita;Lanterna pisca lateral 24V direita;Lanternas;pisca;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-04-LD-24V.png;Pesado
LAN-HEL-04-LE-12V;Lanterna pisca lateral esquerda;Lanterna pisca lateral 12V esquerda;Lanternas;pisca;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-04-LE-12V.png;Leve
LAN-HEL-04-LE-24V;Lanterna pisca lateral esquerda;Lanterna pisca lateral 24V esquerda;Lanternas;pisca;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-04-LE-24V.png;Pesado
LAN-HEL-04-UNI-12V;Lanterna pisca lateral universal;Lanterna pisca lateral 12V universal;Lanternas;pisca;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-04-UNI-12V.png;Leve
LAN-HEL-04-UNI-24V;Lanterna pisca lateral universal;Lanterna pisca lateral 24V universal;Lanternas;pisca;HELLA;24V;;Sinalizacao 24V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-04-UNI-24V.png;Pesado
LAN-HEL-05-LD-12V;Lanterna luz placa direita;Lanterna luz placa 12V direita;Lanternas;placa;HELLA;12V;;Sinalizacao 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_LAN-HEL-05-LD-12V.png;Leve
