Arquivo,Origem,Destino,Obrigatório,Tipo,Preservar no Update?,Preservar no Uninstall?,Observação
System.Data.Common.dll,publish/win-x64/System.Data.Common.dll,{app}/System.Data.Common.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Data.DataSetExtensions.dll,publish/win-x64/System.Data.DataSetExtensions.dll,{app}/System.Data.DataSetExtensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Data.dll,publish/win-x64/System.Data.dll,{app}/System.Data.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.Contracts.dll,publish/win-x64/System.Diagnostics.Contracts.dll,{app}/System.Diagnostics.Contracts.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.Debug.dll,publish/win-x64/System.Diagnostics.Debug.dll,{app}/System.Diagnostics.Debug.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.DiagnosticSource.dll,publish/win-x64/System.Diagnostics.DiagnosticSource.dll,{app}/System.Diagnostics.DiagnosticSource.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.EventLog.Messages.dll,publish/win-x64/System.Diagnostics.EventLog.Messages.dll,{app}/System.Diagnostics.EventLog.Messages.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.EventLog.dll,publish/win-x64/System.Diagnostics.EventLog.dll,{app}/System.Diagnostics.EventLog.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.FileVersionInfo.dll,publish/win-x64/System.Diagnostics.FileVersionInfo.dll,{app}/System.Diagnostics.FileVersionInfo.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.PerformanceCounter.dll,publish/win-x64/System.Diagnostics.PerformanceCounter.dll,{app}/System.Diagnostics.PerformanceCounter.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.Process.dll,publish/win-x64/System.Diagnostics.Process.dll,{app}/System.Diagnostics.Process.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.StackTrace.dll,publish/win-x64/System.Diagnostics.StackTrace.dll,{app}/System.Diagnostics.StackTrace.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.TextWriterTraceListener.dll,publish/win-x64/System.Diagnostics.TextWriterTraceListener.dll,{app}/System.Diagnostics.TextWriterTraceListener.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.Tools.dll,publish/win-x64/System.Diagnostics.Tools.dll,{app}/System.Diagnostics.Tools.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.TraceSource.dll,publish/win-x64/System.Diagnostics.TraceSource.dll,{app}/System.Diagnostics.TraceSource.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Diagnostics.Tracing.dll,publish/win-x64/System.Diagnostics.Tracing.dll,{app}/System.Diagnostics.Tracing.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.DirectoryServices.dll,publish/win-x64/System.DirectoryServices.dll,{app}/System.DirectoryServices.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Drawing.Common.dll,publish/win-x64/System.Drawing.Common.dll,{app}/System.Drawing.Common.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Drawing.Primitives.dll,publish/win-x64/System.Drawing.Primitives.dll,{app}/System.Drawing.Primitives.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Drawing.dll,publish/win-x64/System.Drawing.dll,{app}/System.Drawing.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Dynamic.Runtime.dll,publish/win-x64/System.Dynamic.Runtime.dll,{app}/System.Dynamic.Runtime.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Formats.Asn1.dll,publish/win-x64/System.Formats.Asn1.dll,{app}/System.Formats.Asn1.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Formats.Nrbf.dll,publish/win-x64/System.Formats.Nrbf.dll,{app}/System.Formats.Nrbf.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Formats.Tar.dll,publish/win-x64/System.Formats.Tar.dll,{app}/System.Formats.Tar.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Globalization.Calendars.dll,publish/win-x64/System.Globalization.Calendars.dll,{app}/System.Globalization.Calendars.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Globalization.Extensions.dll,publish/win-x64/System.Globalization.Extensions.dll,{app}/System.Globalization.Extensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Globalization.dll,publish/win-x64/System.Globalization.dll,{app}/System.Globalization.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.Compression.Brotli.dll,publish/win-x64/System.IO.Compression.Brotli.dll,{app}/System.IO.Compression.Brotli.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.Compression.FileSystem.dll,publish/win-x64/System.IO.Compression.FileSystem.dll,{app}/System.IO.Compression.FileSystem.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.Compression.Native.dll,publish/win-x64/System.IO.Compression.Native.dll,{app}/System.IO.Compression.Native.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.Compression.ZipFile.dll,publish/win-x64/System.IO.Compression.ZipFile.dll,{app}/System.IO.Compression.ZipFile.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.Compression.dll,publish/win-x64/System.IO.Compression.dll,{app}/System.IO.Compression.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.FileSystem.AccessControl.dll,publish/win-x64/System.IO.FileSystem.AccessControl.dll,{app}/System.IO.FileSystem.AccessControl.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.FileSystem.DriveInfo.dll,publish/win-x64/System.IO.FileSystem.DriveInfo.dll,{app}/System.IO.FileSystem.DriveInfo.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.FileSystem.Primitives.dll,publish/win-x64/System.IO.FileSystem.Primitives.dll,{app}/System.IO.FileSystem.Primitives.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.FileSystem.Watcher.dll,publish/win-x64/System.IO.FileSystem.Watcher.dll,{app}/System.IO.FileSystem.Watcher.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.FileSystem.dll,publish/win-x64/System.IO.FileSystem.dll,{app}/System.IO.FileSystem.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.IsolatedStorage.dll,publish/win-x64/System.IO.IsolatedStorage.dll,{app}/System.IO.IsolatedStorage.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.MemoryMappedFiles.dll,publish/win-x64/System.IO.MemoryMappedFiles.dll,{app}/System.IO.MemoryMappedFiles.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.Packaging.dll,publish/win-x64/System.IO.Packaging.dll,{app}/System.IO.Packaging.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.Pipelines.dll,publish/win-x64/System.IO.Pipelines.dll,{app}/System.IO.Pipelines.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.Pipes.AccessControl.dll,publish/win-x64/System.IO.Pipes.AccessControl.dll,{app}/System.IO.Pipes.AccessControl.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.Pipes.dll,publish/win-x64/System.IO.Pipes.dll,{app}/System.IO.Pipes.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.UnmanagedMemoryStream.dll,publish/win-x64/System.IO.UnmanagedMemoryStream.dll,{app}/System.IO.UnmanagedMemoryStream.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IO.dll,publish/win-x64/System.IO.dll,{app}/System.IO.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.IdentityModel.Tokens.Jwt.dll,publish/win-x64/System.IdentityModel.Tokens.Jwt.dll,{app}/System.IdentityModel.Tokens.Jwt.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Linq.AsyncEnumerable.dll,publish/win-x64/System.Linq.AsyncEnumerable.dll,{app}/System.Linq.AsyncEnumerable.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Linq.Expressions.dll,publish/win-x64/System.Linq.Expressions.dll,{app}/System.Linq.Expressions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Linq.Parallel.dll,publish/win-x64/System.Linq.Parallel.dll,{app}/System.Linq.Parallel.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Linq.Queryable.dll,publish/win-x64/System.Linq.Queryable.dll,{app}/System.Linq.Queryable.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Linq.dll,publish/win-x64/System.Linq.dll,{app}/System.Linq.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Memory.Data.dll,publish/win-x64/System.Memory.Data.dll,{app}/System.Memory.Data.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Memory.dll,publish/win-x64/System.Memory.dll,{app}/System.Memory.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.Http.Json.dll,publish/win-x64/System.Net.Http.Json.dll,{app}/System.Net.Http.Json.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.Http.dll,publish/win-x64/System.Net.Http.dll,{app}/System.Net.Http.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.HttpListener.dll,publish/win-x64/System.Net.HttpListener.dll,{app}/System.Net.HttpListener.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.Mail.dll,publish/win-x64/System.Net.Mail.dll,{app}/System.Net.Mail.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.NameResolution.dll,publish/win-x64/System.Net.NameResolution.dll,{app}/System.Net.NameResolution.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.NetworkInformation.dll,publish/win-x64/System.Net.NetworkInformation.dll,{app}/System.Net.NetworkInformation.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.Ping.dll,publish/win-x64/System.Net.Ping.dll,{app}/System.Net.Ping.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.Primitives.dll,publish/win-x64/System.Net.Primitives.dll,{app}/System.Net.Primitives.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.Quic.dll,publish/win-x64/System.Net.Quic.dll,{app}/System.Net.Quic.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.Requests.dll,publish/win-x64/System.Net.Requests.dll,{app}/System.Net.Requests.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.Security.dll,publish/win-x64/System.Net.Security.dll,{app}/System.Net.Security.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.ServerSentEvents.dll,publish/win-x64/System.Net.ServerSentEvents.dll,{app}/System.Net.ServerSentEvents.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.ServicePoint.dll,publish/win-x64/System.Net.ServicePoint.dll,{app}/System.Net.ServicePoint.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.Sockets.dll,publish/win-x64/System.Net.Sockets.dll,{app}/System.Net.Sockets.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.WebClient.dll,publish/win-x64/System.Net.WebClient.dll,{app}/System.Net.WebClient.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.WebHeaderCollection.dll,publish/win-x64/System.Net.WebHeaderCollection.dll,{app}/System.Net.WebHeaderCollection.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.WebProxy.dll,publish/win-x64/System.Net.WebProxy.dll,{app}/System.Net.WebProxy.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.WebSockets.Client.dll,publish/win-x64/System.Net.WebSockets.Client.dll,{app}/System.Net.WebSockets.Client.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.WebSockets.dll,publish/win-x64/System.Net.WebSockets.dll,{app}/System.Net.WebSockets.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Net.dll,publish/win-x64/System.Net.dll,{app}/System.Net.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Numerics.Vectors.dll,publish/win-x64/System.Numerics.Vectors.dll,{app}/System.Numerics.Vectors.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Numerics.dll,publish/win-x64/System.Numerics.dll,{app}/System.Numerics.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.ObjectModel.dll,publish/win-x64/System.ObjectModel.dll,{app}/System.ObjectModel.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Printing.dll,publish/win-x64/System.Printing.dll,{app}/System.Printing.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Private.CoreLib.dll,publish/win-x64/System.Private.CoreLib.dll,{app}/System.Private.CoreLib.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Private.DataContractSerialization.dll,publish/win-x64/System.Private.DataContractSerialization.dll,{app}/System.Private.DataContractSerialization.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Private.Uri.dll,publish/win-x64/System.Private.Uri.dll,{app}/System.Private.Uri.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Private.Windows.Core.dll,publish/win-x64/System.Private.Windows.Core.dll,{app}/System.Private.Windows.Core.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Private.Windows.GdiPlus.dll,publish/win-x64/System.Private.Windows.GdiPlus.dll,{app}/System.Private.Windows.GdiPlus.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Private.Xml.Linq.dll,publish/win-x64/System.Private.Xml.Linq.dll,{app}/System.Private.Xml.Linq.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Private.Xml.dll,publish/win-x64/System.Private.Xml.dll,{app}/System.Private.Xml.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Reflection.DispatchProxy.dll,publish/win-x64/System.Reflection.DispatchProxy.dll,{app}/System.Reflection.DispatchProxy.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Reflection.Emit.ILGeneration.dll,publish/win-x64/System.Reflection.Emit.ILGeneration.dll,{app}/System.Reflection.Emit.ILGeneration.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Reflection.Emit.Lightweight.dll,publish/win-x64/System.Reflection.Emit.Lightweight.dll,{app}/System.Reflection.Emit.Lightweight.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Reflection.Emit.dll,publish/win-x64/System.Reflection.Emit.dll,{app}/System.Reflection.Emit.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Reflection.Extensions.dll,publish/win-x64/System.Reflection.Extensions.dll,{app}/System.Reflection.Extensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Reflection.Metadata.dll,publish/win-x64/System.Reflection.Metadata.dll,{app}/System.Reflection.Metadata.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Reflection.Primitives.dll,publish/win-x64/System.Reflection.Primitives.dll,{app}/System.Reflection.Primitives.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Reflection.TypeExtensions.dll,publish/win-x64/System.Reflection.TypeExtensions.dll,{app}/System.Reflection.TypeExtensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Reflection.dll,publish/win-x64/System.Reflection.dll,{app}/System.Reflection.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Resources.Extensions.dll,publish/win-x64/System.Resources.Extensions.dll,{app}/System.Resources.Extensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Resources.Reader.dll,publish/win-x64/System.Resources.Reader.dll,{app}/System.Resources.Reader.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Resources.ResourceManager.dll,publish/win-x64/System.Resources.ResourceManager.dll,{app}/System.Resources.ResourceManager.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Resources.Writer.dll,publish/win-x64/System.Resources.Writer.dll,{app}/System.Resources.Writer.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.Caching.dll,publish/win-x64/System.Runtime.Caching.dll,{app}/System.Runtime.Caching.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.CompilerServices.Unsafe.dll,publish/win-x64/System.Runtime.CompilerServices.Unsafe.dll,{app}/System.Runtime.CompilerServices.Unsafe.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.CompilerServices.VisualC.dll,publish/win-x64/System.Runtime.CompilerServices.VisualC.dll,{app}/System.Runtime.CompilerServices.VisualC.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.Extensions.dll,publish/win-x64/System.Runtime.Extensions.dll,{app}/System.Runtime.Extensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.Handles.dll,publish/win-x64/System.Runtime.Handles.dll,{app}/System.Runtime.Handles.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.InteropServices.JavaScript.dll,publish/win-x64/System.Runtime.InteropServices.JavaScript.dll,{app}/System.Runtime.InteropServices.JavaScript.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.InteropServices.RuntimeInformation.dll,publish/win-x64/System.Runtime.InteropServices.RuntimeInformation.dll,{app}/System.Runtime.InteropServices.RuntimeInformation.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.InteropServices.dll,publish/win-x64/System.Runtime.InteropServices.dll,{app}/System.Runtime.InteropServices.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.Intrinsics.dll,publish/win-x64/System.Runtime.Intrinsics.dll,{app}/System.Runtime.Intrinsics.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
System.Runtime.Loader.dll,publish/win-x64/System.Runtime.Loader.dll,{app}/System.Runtime.Loader.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
